# CoordinateSystem: PROJCS["CH1903+ / LV95",GEOGCS["CH1903+",DATUM["CH1903+",SPHEROID["Bessel 1841",6377397.155,299.1528128,AUTHORITY["EPSG","7004"]],TOWGS84[674.374,15.056,405.346,0,0,0,0],AUTHORITY["EPSG","6150"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4150"]],PROJECTION["Oblique_Mercator",AUTHORITY["EPSG","9815"]],PARAMETER["latitude_of_center",46.95240555555561],PARAMETER["longitude_of_center",7.439583333333329],PARAMETER["azimuth",90],PARAMETER["recitified_grid_angle",90],PARAMETER["scale_factor",1],PARAMETER["false_easting",2600000],PARAMETER["false_northing",1200000],UNIT["metre",1,AUTHORITY["EPSG","9001"]],AUTHORITY["EPSG","2056"]]
#Label,X/Easting,Y/Northing,Z/Altitude,Yaw,Pitch,Roll,Error_(m),X_error,Y_error,Z_error,Error_(deg),Yaw_error,Pitch_error,Roll_error,X_est,Y_est,Z_est,Yaw_est,Pitch_est,Roll_est
DJI_0189.jpg,2507651.281832,1139217.670705,460.781915,123.423004,-1.529092,-0.706672,0.311362,0.145610,0.245118,-0.125146,0.400767,-0.060997,-0.047356,-0.393257,2507651.427438,1139217.915816,460.656769,123.362007,-1.576448,-1.099929
DJI_0190.jpg,2507646.570646,1139212.766172,460.527998,123.460517,-1.982408,-0.933142,0.251603,0.106389,0.215941,-0.073178,0.320756,-0.053111,-0.007762,-0.316233,2507646.677032,1139212.982108,460.454820,123.407406,-1.990170,-1.249375
DJI_0191.jpg,2507644.908183,1139211.018616,460.451595,123.439515,-1.924551,-1.128963,0.431092,0.066983,0.424095,-0.038693,0.587724,-0.068820,0.226940,-0.537756,2507644.975164,1139211.442699,460.412902,123.370695,-1.697611,-1.666719
DJI_0192.jpg,2507647.795447,1139209.440452,460.350845,123.435470,-1.988365,-1.454361,0.259902,0.061063,0.246719,-0.054317,0.325119,-0.047051,0.071637,-0.313618,2507647.856508,1139209.687164,460.296528,123.388419,-1.916728,-1.767979
DJI_0193.jpg,2507652.608389,1139205.927200,460.360005,123.607101,-1.608027,-1.163484,0.278420,0.169706,0.206886,-0.076912,0.362287,-0.090629,-0.111573,-0.332551,2507652.778091,1139206.134081,460.283093,123.516472,-1.719600,-1.496035
DJI_0194.jpg,2507656.962992,1139202.934911,460.392585,123.842098,-0.745063,-1.099464,0.381707,0.227686,0.300965,-0.057269,0.510803,-0.104099,-0.117437,-0.486099,2507657.190672,1139203.235868,460.335316,123.737999,-0.862500,-1.585563
DJI_0195.jpg,2507661.951030,1139199.788487,460.471703,123.970425,-0.570586,-1.390470,0.365196,-0.032510,0.356796,-0.070768,0.386069,-0.009293,0.213302,-0.321660,2507661.918521,1139200.145273,460.400935,123.961132,-0.357284,-1.712130
DJI_0196.jpg,2507666.830639,1139196.475992,460.466087,123.984248,-0.345287,-1.378173,0.382415,-0.040481,0.379790,-0.019018,0.418767,0.067563,0.221189,-0.349108,2507666.790159,1139196.855772,460.447069,124.051811,-0.124098,-1.727281
DJI_0197.jpg,2507671.765725,1139193.236893,460.571104,124.090863,-0.196733,-1.503424,0.429181,-0.005983,0.428914,0.013899,0.496845,-0.012243,0.248890,-0.429836,2507671.759743,1139193.665795,460.585003,124.078620,0.052157,-1.933260
DJI_0198.jpg,2507676.852263,1139189.858821,460.675629,124.128579,-0.360474,-1.611579,0.247460,0.009636,0.245792,0.027017,0.249933,-0.063224,0.090056,-0.224408,2507676.861899,1139190.104606,460.702646,124.065355,-0.270418,-1.835987
DJI_0199.jpg,2507682.205774,1139186.435561,460.714193,124.190975,-0.843973,-1.912487,0.217561,0.046911,0.210318,0.029974,0.212908,-0.053870,0.010741,-0.205700,2507682.252684,1139186.645874,460.744167,124.137105,-0.833232,-2.118187
DJI_0200.jpg,2507687.371319,1139182.881099,460.638146,124.151046,-1.182711,-1.832288,0.246349,0.048153,0.234750,0.057114,0.239647,-0.012420,0.019271,-0.238548,2507687.419471,1139183.115842,460.695260,124.138626,-1.163440,-2.070836
DJI_0201.jpg,2507692.453191,1139179.565691,460.551906,124.213568,-1.225240,-1.925695,0.214360,0.139106,0.159795,0.032639,0.266605,-0.049441,-0.151668,-0.213613,2507692.592293,1139179.725482,460.584545,124.164127,-1.376908,-2.139308
DJI_0202.jpg,2507697.161698,1139176.260133,460.519805,124.303152,-0.898429,-1.760721,0.197643,0.169474,0.101564,-0.005099,0.297398,-0.073813,-0.242978,-0.154787,2507697.331167,1139176.361695,460.514706,124.229339,-1.141407,-1.915508
DJI_0203.jpg,2507701.976365,1139173.025543,460.532445,124.362639,-0.609516,-1.815322,0.489474,0.231748,0.428679,-0.045954,0.564449,-0.086026,-0.037312,-0.556606,2507702.208106,1139173.454211,460.486491,124.276613,-0.646828,-2.371928
DJI_0204.jpg,2507706.886941,1139169.503243,460.512628,124.306206,-0.665592,-1.714089,0.661031,0.266252,0.602972,-0.049962,0.779454,-0.076759,0.085459,-0.770944,2507707.153186,1139170.106199,460.462666,124.229447,-0.580133,-2.485033
DJI_0205.jpg,2507711.719553,1139166.166533,460.559489,124.293353,-0.477767,-1.648341,0.590536,0.303075,0.493701,-0.114618,0.645313,-0.084540,-0.019722,-0.639448,2507712.022620,1139166.660220,460.444871,124.208813,-0.497489,-2.287789
DJI_0206.jpg,2507716.677991,1139162.905521,460.601897,124.222053,-0.407360,-1.815506,0.605996,0.392610,0.439908,-0.139889,0.654132,-0.065175,-0.138999,-0.635862,2507717.070591,1139163.345417,460.462008,124.156878,-0.546359,-2.451368
DJI_0207.jpg,2507721.939714,1139159.582058,460.601831,124.154895,-0.817132,-2.073728,0.625920,0.403118,0.469193,-0.095551,0.700699,-0.001001,-0.103945,-0.692946,2507722.342821,1139160.051238,460.506280,124.153894,-0.921077,-2.766674
DJI_0208.jpg,2507726.979171,1139156.207101,460.546711,124.056390,-0.945244,-1.993276,0.716760,0.595287,0.386993,-0.098048,0.847476,0.039953,-0.366856,-0.762913,2507727.574443,1139156.594084,460.448663,124.096343,-1.312100,-2.756189
DJI_0209.jpg,2507731.808753,1139152.829624,460.510278,123.923747,-0.862082,-1.817804,0.699750,0.530407,0.437385,-0.130433,0.801887,0.060085,-0.211146,-0.771252,2507732.339146,1139153.266997,460.379845,123.983832,-1.073228,-2.589056
DJI_0210.jpg,2507736.850604,1139149.431841,460.499165,123.765653,-1.010408,-1.785666,0.722043,0.469563,0.526355,-0.154298,0.836238,0.069253,-0.030904,-0.832792,2507737.320154,1139149.958182,460.344867,123.834906,-1.041312,-2.618458
DJI_0211.jpg,2507741.820559,1139146.187757,460.454263,123.664711,-0.927822,-1.824063,0.739587,0.529879,0.487346,-0.169443,0.848498,0.026204,-0.120124,-0.839543,2507742.350424,1139146.675090,460.284820,123.690915,-1.047946,-2.663606
DJI_0212.jpg,2507744.489045,1139144.452636,460.486531,123.649669,-1.019690,-1.591176,0.746494,0.500345,0.520467,-0.189795,0.859039,0.015612,-0.050703,-0.857399,2507744.989377,1139144.973089,460.296736,123.665281,-1.070393,-2.448575
DJI_0213.jpg,2507742.654063,1139142.602537,460.435881,123.626535,-1.125320,-1.625432,0.742727,0.552421,0.468745,-0.163565,0.868067,0.025883,-0.159020,-0.852985,2507743.206469,1139143.071269,460.272316,123.652418,-1.284340,-2.478417
