Exposure_image,Variety,Lon_exposure,Lat_exposure,Z_exposure,Plot_label,Lon_plot,Lat_plot,Z_plot,Lon_diff,Lat_diff,Z_diff,Planar_dist,Azimuth_drone,Total_dist,Mean_centroid_angle,Planar_diff_from_mean_centroid_angle,Lateral_dist_from_ex_pos,Longitudinal_dist_from_ex_pos,Lateral_angle_from_ex_pos,Longitudinal_angle_from_ex_pos,Azimuth_sun,Elevation_sun,Azimuth_diff,Elevation_diff,AngleSunPlotDrone,Longitudinal_dist_sun_direction,Lateral_dist_sun_direction,Longitudinal_angle_from_sun_direction,Lateral_angle_from_sun_direction,Temp_by_img_plot,Central_Temp,Central_4pixel_temp,TimeStamp,Sensor_x,Sensor_y
DJI_0001.jpg,Variety_28,2507687.038518,1139151.745491,460.5126591423744,107_Experiment121,2507677.302930614,1139153.522975406,422.85540771484375,-9.735587385948747,1.7774844060186297,37.65725142753064,9.896520224962094,280.34687008705646,38.93596920123271,124.71085686603028,204.3639867789738,-4.0826,-9.0152,-6.187538590660701,-13.463301407563016,187.08,66.55,266.7331299129436,51.82533972475448,68.18622014506212,-0.564,-9.8804,-0.8580659102274769,-14.701715381519632,17854.0,18,18693,2021-07-01 13:51:13,395.1,-438.3
DJI_0001.jpg,Variety_14,2507687.038518,1139151.745491,460.5126591423744,108_Experiment121,2507683.80018205,1139149.0478242908,422.8047563419786,-3.238335949834436,-2.697666709078476,37.7079028003958,4.214762792525861,230.20431430844272,37.94272208212476,124.71085686603028,254.50654255758758,-4.0616,-1.1259,-6.147750581328183,-1.71025575532286,187.08,66.55,316.8756856915573,60.172293935834375,61.97443886644916,3.0762,-2.8811,4.663845364435464,-4.369237001378229,18677.0,18,18693,2021-07-01 13:51:13,394.1,-282.9
DJI_0001.jpg,Variety_13,2507687.038518,1139151.745491,460.5126591423744,109_Experiment121,2507690.5763485613,1139144.3925979033,422.92212244975997,3.53783056139946,-7.3528930966276675,37.59053669261442,8.159735410637213,154.3055546769533,38.465955477673994,124.71085686603028,330.40530218907696,-4.0298,7.0952,-6.118882783818649,10.688806625877387,187.08,66.55,32.774445323046706,54.30286778141621,56.45990026853714,6.8608,4.4171,10.343434583831044,6.701844483748018,18806.0,18,18693,2021-07-01 13:51:13,393.9,-121.2
DJI_0001.jpg,Variety_7,2507687.038518,1139151.745491,460.5126591423744,112_Experiment121,2507689.717498756,1139143.1478870828,422.7949473063151,2.678980756085366,-8.597603917121887,37.717711836059266,9.005316818812393,162.693164028071,38.77784827907797,124.71085686603028,322.01769283795926,-5.542,7.098,-8.35886431068716,10.657700796626653,187.08,66.55,24.386835971929003,53.12169872460314,54.4714275225501,8.2018,3.7183,12.26810614549561,5.630159743293554,18114.0,18,18693,2021-07-01 13:51:13,423.3,-121.6
DJI_0001.jpg,Variety_17,2507687.038518,1139151.745491,460.5126591423744,113_Experiment121,2507682.939914174,1139147.7428440854,422.6878925191945,-4.098603826016188,-4.002646914450452,37.82476662317987,5.728851162702192,225.67861977507195,38.25614598652635,124.71085686603028,259.03223709095835,-5.6242,-1.09,-8.457398239019916,-1.650641273014234,187.08,66.55,321.40138022492806,57.937571171271316,59.94507498881361,4.4773,-3.574,6.750663041821691,-5.397758240064603,18828.0,18,18693,2021-07-01 13:51:13,424.5,-282.0
DJI_0001.jpg,Variety_12,2507687.038518,1139151.745491,460.5126591423744,114_Experiment121,2507676.4831166947,1139152.3251076557,422.84075927734375,-10.555401305202395,0.5796166558284312,37.67189986503064,10.571303239505626,273.1430609152362,39.127030191703504,124.71085686603028,211.56779595079405,-5.5342,-9.007,-8.357273279738656,-13.446460233034651,187.08,66.55,273.9369390847638,50.8750792794126,66.411384097633,0.7258,-10.5464,1.1037439759596155,-15.639803764558684,17745.0,18,18693,2021-07-01 13:51:13,423.6,-437.9
DJI_0001.jpg,Variety_18,2507687.038518,1139151.745491,460.5126591423744,127_Experiment121,2507674.853606763,1139149.8869636124,422.8200656162219,-12.184911237098277,-1.8585273874923587,37.69259352615251,12.32583408561153,261.32768933951695,39.65674964786923,124.71085686603028,223.38316752651332,-8.4663,-8.9581,-12.659354123096382,-13.369008520467517,187.08,66.55,285.7523106604831,48.44176638167882,62.89330830120845,3.3462,-11.8629,5.073193938935974,-17.470228387032634,17243.0,18,18693,2021-07-01 13:51:13,481.4,-437.3
DJI_0001.jpg,Variety_22,2507687.038518,1139151.745491,460.5126591423744,128_Experiment121,2507681.3113138066,1139145.3210622075,422.8346682628953,-5.7272041933611035,-6.4244287924375385,37.67799087947907,8.606634253966732,221.7161388605389,38.648481857579625,124.71085686603028,262.9947180054914,-8.5424,-1.0497,-12.774215377166861,-1.5958342036656736,187.08,66.55,325.3638611394611,53.68291523924421,56.21710941747153,7.0813,-4.8917,10.644151803540556,-7.397283331415062,18136.0,18,18693,2021-07-01 13:51:13,482.3,-281.1
DJI_0001.jpg,Variety_13,2507687.038518,1139151.745491,460.5126591423744,129_Experiment121,2507687.9612995926,1139140.7231424577,422.7505148863181,0.9227815927006304,-11.022348542232066,37.762144256056274,11.06090833766705,175.21440609822184,39.348738633779305,124.71085686603028,309.4964507678084,-8.5353,7.0351,-12.736430257474147,10.553239370355715,187.08,66.55,11.865593901778169,50.22416640943065,50.63374318463259,10.8246,2.2743,15.99506395218017,3.4465886731749964,18699.0,18,18693,2021-07-01 13:51:13,481.9,-123.3
DJI_0001.jpg,Variety_19,2507687.038518,1139151.745491,460.5126591423744,12_Experiment121,2507700.5542400465,1139159.163709675,422.58270749178797,13.515722046606243,7.418218675069511,37.92995165058642,15.417675270684231,61.23944482379066,40.94369234653967,124.71085686603028,63.47141204223962,13.7944,6.8862,19.985361617735037,10.289997049205603,187.08,66.55,125.84055517620935,44.42935991713097,80.42254730508611,-9.0275,12.4983,-13.387578830408811,18.237570653495897,18979.0,18,18693,2021-07-01 13:51:13,44.3,-125.8
DJI_0001.jpg,Variety_1,2507687.038518,1139151.745491,460.5126591423744,132_Experiment121,2507687.1195012894,1139139.504181547,422.74241943359374,0.08098328951746225,-12.241309452801943,37.77023970878065,12.241577325346569,179.62096105576302,39.70449877622421,124.71085686603028,305.08989581026725,-10.0167,7.0372,-14.852979728738294,10.554107010261765,187.08,66.55,7.459038944236994,48.59215751168644,48.774747708519385,12.138,1.5892,17.81554206759169,2.409324853186645,17919.0,18,18693,2021-07-01 13:51:13,511.0,-123.1
DJI_0001.jpg,Variety_12,2507687.038518,1139151.745491,460.5126591423744,133_Experiment121,2507680.4998683794,1139144.1695631528,422.7040100097656,-6.538649620488286,-7.5759278470650315,37.808649132608764,10.007428321174578,220.796897353256,39.11064523676597,124.71085686603028,263.9139595127743,-9.951,-1.061,-14.745483911421985,-1.607433047206495,187.08,66.55,326.283102646744,51.72457297877677,54.552507141293795,8.3241,-5.555,12.416375977299975,-8.358327699428918,18806.0,18,18693,2021-07-01 13:51:13,509.4,-281.5
DJI_0001.jpg,Variety_10,2507687.038518,1139151.745491,460.5126591423744,134_Experiment121,2507673.9085407597,1139148.7204379984,422.86736450195315,-13.129977240227163,-3.025053001474589,37.64529464042124,13.47394700860196,257.0258590421281,39.983939982882404,124.71085686603028,227.68499782390217,-9.9634,-9.0707,-14.824302456293415,-13.54728400136858,187.08,66.55,290.05414095787194,46.85677235049701,61.26995853647222,4.6203,-12.657,6.997059727463245,-18.583536068079304,17243.0,18,18693,2021-07-01 13:51:13,511.2,-439.7
DJI_0001.jpg,Variety_18,2507687.038518,1139151.745491,460.5126591423744,13_Experiment121,2507693.892441672,1139163.7075935607,422.55616455078126,6.853923671878874,11.962102560792118,37.95649459159313,13.786521220919036,29.811406734711795,40.382714731138236,124.71085686603028,94.89945013131849,13.7361,-1.1775,19.894715748513285,-1.7768803696567015,187.08,66.55,157.26859326528822,46.58801508781691,85.11436570180969,-12.7157,5.3273,-18.521221772684942,7.989434371480274,18374.0,18,18693,2021-07-01 13:51:13,46.2,-284.4
DJI_0001.jpg,Variety_19,2507687.038518,1139151.745491,460.5126591423744,147_Experiment121,2507673.0773495375,1139147.4440977513,422.8011047363281,-13.96116846241057,-4.301393248606473,37.711554406046275,14.60877163607416,252.87609492119603,40.442274224320684,124.71085686603028,231.83476194483427,-11.4859,-9.0272,-16.93929055243401,-13.461864136058697,187.08,66.55,294.203905078804,45.37453655343821,59.53952082551226,5.9894,-13.3245,9.024418855061507,-19.45967581090296,17788.0,18,18693,2021-07-01 13:51:13,541.0,-438.8
DJI_0001.jpg,Variety_4,2507687.038518,1139151.745491,460.5126591423744,148_Experiment121,2507679.6076849583,1139142.9163406575,422.75889892578124,-7.430833041667938,-8.82915034238249,37.75376021659315,11.539981605771166,220.0848014706164,39.4780646176272,124.71085686603028,264.62605539541386,-11.4893,-1.0808,-16.926159027194142,-1.6397934856020644,187.08,66.55,326.99519852938363,49.55347150042624,52.73790454475756,9.6777,-6.2859,14.377476630043406,-9.45288149234099,18634.0,18,18693,2021-07-01 13:51:13,539.9,-281.9
DJI_0001.jpg,Variety_6,2507687.038518,1139151.745491,460.5126591423744,149_Experiment121,2507686.354871435,1139138.3275495344,422.85790405273445,-0.6836465648375452,-13.417941465508193,37.654755089639934,13.435346136122371,182.91670831236956,39.979858762359115,124.71085686603028,301.7941485536607,-11.4193,7.0787,-16.870617579054127,10.646748724970465,187.08,66.55,4.163291687630448,46.91342507602724,46.97721606884368,13.3999,0.9754,19.588716525271806,1.4838446893417268,18418.0,18,18693,2021-07-01 13:51:13,539.4,-121.2
DJI_0001.jpg,Variety_17,2507687.038518,1139151.745491,460.5126591423744,14_Experiment121,2507687.3556006136,1139168.2827297847,422.5625942064368,0.31708261370658875,16.53723878483288,37.950064935937576,16.540278353476882,1.0984463551392878,41.39792551145981,124.71085686603028,123.612410510891,13.7748,-9.1562,19.949465058863172,-13.56449867524282,187.08,66.55,185.98155364486072,43.00034692306835,89.98531057179702,-16.4502,-1.7236,-23.435266361783373,-2.600448435276823,18114.0,18,18693,2021-07-01 13:51:13,44.3,-441.8
DJI_0001.jpg,Variety_10,2507687.038518,1139151.745491,460.5126591423744,152_Experiment121,2507684.5375991943,1139135.8402769447,422.7234130859375,-2.5009188055992126,-15.90521405520849,37.789246056436866,16.100634428934825,188.9359618180256,41.07624065719903,124.71085686603028,295.7748950480047,-14.4988,7.0011,-20.990574044445612,10.496008798469001,187.08,66.55,358.14403818197445,43.47289553691674,43.48860291751909,16.0922,-0.5215,23.06628015575531,-0.7906443108328357,18353.0,18,18693,2021-07-01 13:51:13,599.8,-123.4
DJI_0001.jpg,Variety_22,2507687.038518,1139151.745491,460.5126591423744,153_Experiment121,2507677.969492352,1139140.4358671403,422.8364013671875,-9.069025647826493,-11.30962385958992,37.67625777518691,14.49671749212008,218.7256273542137,40.368988320103746,124.71085686603028,265.98522951181656,-14.4611,-1.015,-20.9980643966713,-1.5431775005772834,187.08,66.55,328.35437264578627,45.50474065423799,49.31765778977589,12.3412,-7.6059,18.136678055293523,-11.41320078878913,18158.0,18,18693,2021-07-01 13:51:13,599.4,-281.2
